alpha,object,fdsi_score,rank
0.8,Nanjing,0.523,26
0.8,Chengdu,0.3178,39
0.8,Hangzhou,0.4067,35
0.8,Hefei,0.5117,31
0.8,Nanchang,0.5142,30
0.8,Ningbo,0.4422,33
0.8,Shanghai,0.438,34
0.8,Chongqing,0.1751,41
0.8,Taipei,0.2887,40
0.8,Shenzhen,0.5746,14
0.8,Guangzhou,0.5941,11
0.8,Xiamen,0.6289,9
0.8,Fuzhou,0.3998,36
0.8,Nanning,0.5143,29
0.8,Haikou,0.6308,7
0.8,Hong Kong,0.4485,32
0.8,Kunming,0.6412,4
0.8,Guiyang,0.3289,38
0.8,Lhasa,0.7321,1
0.9,Harbin,0.5739,15
0.9,Changchun,0.5717,16
0.9,Shenyang,0.5511,19
0.9,Dalian,0.5433,21
0.9,Hohhot,0.6274,10
0.9,Tangshan,0.5348,23
0.9,Urumqi,0.5171,28
0.9,Beijing,0.6316,6
0.9,Tianjin,0.5426,22
0.9,Jinan,0.5635,18
0.9,Xian,0.5893,12
0.9,Taiyuan,0.519,27
0.9,Shijiazhuang,0.642,3
0.9,Zhengzhou,0.544,20
0.9,Qingdao,0.5224,26
0.9,Lanzhou,0.6412,5
0.9,Yinchuan,0.7172,2
0.9,Xining,0.6303,7
0.9,Wuxi,0.5299,24
0.9,Suzhou,0.363,37
0.9,Changsha,0.5637,17
0.9,Wuhan,0.5864,13
0.9,Nanjing,0.5247,25
0.9,Chengdu,0.3169,39
0.9,Hangzhou,0.4067,35
0.9,Hefei,0.5107,31
0.9,Nanchang,0.5129,29
0.9,Ningbo,0.4417,33
0.9,Shanghai,0.437,34
0.9,Chongqing,0.1751,41
0.9,Taipei,0.2874,40
0.9,Shenzhen,0.5749,14
0.9,Guangzhou,0.5958,11
0.9,Xiamen,0.6298,8
0.9,Fuzhou,0.3977,36
0.9,Nanning,0.5129,30
0.9,Haikou,0.6288,9
0.9,Hong Kong,0.4454,32
0.9,Kunming,0.6413,4
0.9,Guiyang,0.3313,38
0.9,Lhasa,0.7288,1
1.0,Harbin,0.5762,14
1.0,Changchun,0.5721,16
1.0,Shenyang,0.551,19
1.0,Dalian,0.5423,21
1.0,Hohhot,0.6277,9
1.0,Tangshan,0.5333,23
1.0,Urumqi,0.5136,28
1.0,Beijing,0.6325,6
1.0,Tianjin,0.5412,22
1.0,Jinan,0.5659,17
1.0,Xian,0.5876,12
1.0,Taiyuan,0.5176,27
1.0,Shijiazhuang,0.6429,3
1.0,Zhengzhou,0.5428,20
1.0,Qingdao,0.5199,26
1.0,Lanzhou,0.6396,5
1.0,Yinchuan,0.7159,2
1.0,Xining,0.6293,8
1.0,Wuxi,0.5291,24
1.0,Suzhou,0.36,37
1.0,Changsha,0.5644,18
1.0,Wuhan,0.5868,13
1.0,Nanjing,0.5265,25
1.0,Chengdu,0.316,39
1.0,Hangzhou,0.4066,35
1.0,Hefei,0.5097,31
1.0,Nanchang,0.5117,29
1.0,Ningbo,0.4411,33
1.0,Shanghai,0.4361,34
1.0,Chongqing,0.175,41
1.0,Taipei,0.2861,40
1.0,Shenzhen,0.5753,15
1.0,Guangzhou,0.5974,11
1.0,Xiamen,0.6307,7
1.0,Fuzhou,0.3957,36
1.0,Nanning,0.5115,30
1.0,Haikou,0.6268,10
1.0,Hong Kong,0.4424,32
1.0,Kunming,0.6414,4
1.0,Guiyang,0.3337,38
1.0,Lhasa,0.7254,1
