scenario,scenario_label,city,name_en,climate_zone,province,grid_region,elec_price_eff,carbon_uplift_cny_kwh,d4_lcoe,d4_pbt,d4_npv_positive,D1_score,D2_score,D3_score,D4_score,D5_score,fdsi,rank,suitability
baseline,Baseline (2024),wuhan,Wuhan,,湖北,华中,0.558,0.0,0.2192,4.42,True,0.448751886671659,0.5534122765704547,0.6664179316618342,0.3840124789483932,0.39652014652014655,0.4850992514835888,15,Medium
baseline,Baseline (2024),wuxi,Wuxi,,江苏,华东,0.558,0.0,0.2146,4.33,True,0.5492704322399466,0.6399031151180784,0.37287407714236986,0.40292092111241296,0.4163614163614164,0.46006090021339724,19,Medium
baseline,Baseline (2024),xiamen,Xiamen,,福建,华东,0.618,0.0,0.2009,3.63,True,0.685929212467359,0.5386310525017382,0.7258965627868066,0.4998326119706354,0.5143467643467643,0.6014964301858255,2,High
baseline,Baseline (2024),xian,Xian,,陕西,西北,0.498,0.0,0.2057,4.66,True,0.4793679302976859,0.21660678642714568,0.71359940872136,0.3921239662081145,0.40445665445665446,0.4682146702927502,17,Medium
baseline,Baseline (2024),xining,Xining,,青海,西北,0.388,0.0,0.1803,5.28,True,0.6815910465882917,0.6475511897553208,0.5768317048804853,0.39155433449593996,0.40384615384615385,0.5310910570595752,12,High
baseline,Baseline (2024),yinchuan,Yinchuan,,宁夏,西北,0.44,0.0,0.1803,4.62,True,0.611738253985925,0.7982210859180516,0.6235700275334422,0.4535844096839099,0.46794871794871795,0.5707044597861923,3,High
baseline,Baseline (2024),zhengzhou,Zhengzhou,,河南,华中,0.56,0.0,0.2076,4.16,True,0.44995189490929205,0.5276996568660433,0.41853877829487574,0.4348002275110766,0.4478021978021979,0.44923150868916084,25,Medium
cost_reduction,PV Cost −50% (2030),beijing,Beijing,,北京,华北,0.4883,0.0,0.1024,2.31,True,0.5159765012563882,0.6936024580053376,0.7147420668762132,0.8476546887436676,0.8415750915750915,0.7240101735506503,9,High
cost_reduction,PV Cost −50% (2030),changchun,Changchun,,吉林,东北,0.52,0.0,0.1035,2.19,True,0.38172223686358686,0.4317235192536276,0.6833126223370126,0.8564340200797314,0.8522588522588522,0.66183212263391,19,High
cost_reduction,PV Cost −50% (2030),changsha,Changsha,,湖南,华中,0.588,0.0,0.1197,2.24,True,0.4481456520967013,0.6729740518962076,0.612976454439869,0.8149333180748326,0.8061660561660561,0.6683789478229929,16,High
cost_reduction,PV Cost −50% (2030),chengdu,Chengdu,,四川,华中,0.502,0.0,0.1272,2.81,True,0.24578838326602448,0.37507636412568124,0.20843485782510168,0.7443241793716457,0.7341269841269842,0.46716455786356337,38,Medium
